name_mapgovpoint,addr_mapgovpoint,gps_lat,gps_long
Bakesbangpol,"Jl. KSR Dadi Kusmayadi No.41, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.475.242.896.422.230,10.682.722.662.709.700
Bappenda,"Jalan Raya Tegar Beriman No. 1, Pakansari, Cibinong, Pakansari, Cibinong, Bogor, Jawa Barat 16914, Indonesia",-6.484.994.815.258.150,10.683.524.222.940.500
Bapperida,"Jl. Segar III Komplek Perkantoran Pemda Bogor No.Kav. 2, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.476.065.267.743.370,1.068.271.264.055.190
BKPSDM,"Jl. Bersih, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-647.565.800.550.251,10.682.406.870.792.800
BPBD,"Jalan Tegar Beriman, Cibinong",-6.484.659.272.975.570,10.683.839.786.344.500
BPKAD,"Jalan Aman No 1, Kelurahan Tengah, Kecamatan Cibinong, Kabupaten Bogor",-647.546.529.425.834,10.682.449.300.807.000
DAMKAR,"Komplek, Jl. Raya Pemda Jl. Tegar Beriman No.1, Pakansari, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.485.523.543.494.310,10.683.661.950.446.600
DAPD,"Jalan Bersih, Komplek Pemda, Kelurahan Tengah, Kecamatan Cibinong, Kabupaten Bogor",-6.478.133.664.773.870,1.068.230.611.055.450
DINKES,"Jalan Tegar Beriman, Cibinong",-6.482.472.407.917.920,1.068.324.634.780.720
DINSOS,"Jalan Tegar Beriman, Cibinong",-6.475.137.096.626.070,10.682.420.664.932.200
DISBUD,"Vivo Mall Lantai 1 Jl. Raya Jakarta - Bogor Km. 50, Cimandala, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710",-6.523.591.440.931.880,10.683.178.626.253.800
DISDAGIN,"Jalan Aman Komplek Perkantoran Pemkab Bogor, Kelurahan Tengah Cibinong 16914",-6.476.992.320.470.760,10.682.440.342.443.500
DISDIK,Jalan Nyaman No. 1 Kel. Tengah Kec. Cibinong,-64.757.983.373.312.600,10.682.581.208.995.600
DISDUKCAKPIL,"Jalan Tegar Beriman, Kelurahan Pakansari, Kecamatan Cibinong",-6.485.572.943.494.250,10.683.712.809.652.300
DISHUB,"Jalan Raya Jakarta KM 50, Cimandala, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat, 16710",-6.529.837.133.128.540,10.682.922.642.822.900
DISKANAK,"Jl. Bersih, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.476.652.724.202.460,10.682.395.219.789.300
DISKOMINFO,"Jl. Tegar Beriman No.1, Pakansari, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.485.570.355.757.940,10.683.814.060.479.300
DISKOPUKM,"Jalan KSR Dadi Kusmayadi, Kelurahan Tengah Cibinong, Bogor, Jawa Barat 16941, Indonesia",-64.748.951.520.537.100,10.682.522.243.664.700
DISNAKER,"Jalan Tegar Beriman, Cibinong",-6.475.480.082.839.860,1.068.238.127.228.760
DISPAREKRAF,"Komplek Perkantoran Pemda, Jl. Segar III Kav. V, Kabupaten Bogor, 16914",-6.476.834.582.582.200,10.682.657.727.994.700
DISPORA,"Jalan Tegar Beriman, Cibinong",-6.495.449.158.786.360,10.683.033.790.955.600
DISTANHORBUN,Jl. Segar III Komplek Perkantoran PEMDA Kelurahan Tengah Kecamatan Cibinong Kabupaten Bogor 16914,-6.576.529.870.490.310,10.675.978.719.354.800
DKP,"JL. Raya Jasinga Km. 35, Kode Pos 16660, Telp. 0251 8682011, Email : Keccigudeg@bogorkab.go.id",-6.475.762.583.053.950,10.682.661.416.390.100
DLH,"Komplek Kantor ke-PU-an, Jl. Tegar Beriman Cibinong 16914",-6.481.097.247.534.780,10.683.096.921.911.000
DP3AP2KB,"Jalan Bersih, Kelurahan Tengah - Cibinong 16914 - Kab. Bogor",-6.476.222.755.886.020,10.682.356.754.904.200
DPKP,"Jl. Tegar Beriman, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-64.815.541.448.202.300,10.683.113.578.815.300
DPMD,"Jl. KSR Dadi Kusmayadi, Cibinong, Bogor, Jawa Barat 16914",-647.543.803.373.732,10.682.773.629.979.300
DPMPTSP,"Jl. Tegar Beriman No.40, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.481.500.598.912.050,10.682.754.823.183.800
DPTR,"Jalan Tegar Beriman, Cibinong",-6.484.546.930.221.800,10.683.408.594.937.200
DPU,Pemkab Bogor Jalan Tegar Beriman Cibinong - Bogor 16914,-6.481.238.839.087.380,10.683.049.073.472.400
INSPEKTORAT,"Jl. Indah No.1, Kelurahan Tengah, Kecamatan Cibinong",-6.478.405.682.581.680,10.682.363.025.675.100
RSUD CIAWI,"Sirnagalih, Tamansari, Bogor 16610, Telp: (0251) 8487111",-6.658.947.893.584.560,1.068.525.421.494.500
RSUD CIBINONG,"Jl. KSR Dadi Kusmayadi No.27, Tengah, Cibinong, Bogor, Jawa Barat 16914",-6.473.036.490.256.760,10.683.132.222.057.600
RSUD CILEUNGSI,"Jl. Raya Cileungsi - Jonggol No.10, Cipeucang, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat 16820, Indonesia",-6.428.146.064.344.360,10.704.771.930.898.000
RSUD LEUWILIANG,"Jl. Letkol Atang Senjaya Telp. ( 0251 ) 8624001 Bogor 16310, email : kecrancabungur@bogorkab.go.id",-65.674.948.669.557.900,10.662.612.602.152.800
SATPOLPP,Jl. Aman No. 4 Kel. Tengah Kec. Cibinong Kab. Bogor Prov. Jawa Barat 16914,-6.476.394.130.819.470,10.682.439.127.949.100
SETDA,"Jalan Tegar Beriman, Cibinong",-6.478.244.628.888.420,10.682.477.429.086.600
SETWAN,"Jl. Segar, Tengah, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914",-6.479.594.016.578.280,10.682.589.094.005.200
